"amt_ICU beds needed|Mitigated",date,dataKey,hospital_capacity,icu_capacity,"range_ICU beds needed|Mitigated",epi_week,"amt_Hospital beds needed|Mitigated","range_Hospital beds needed|Mitigated","amt_New Deaths|Mitigated","range_New Deaths|Mitigated","amt_Total Deaths|Mitigated","range_Total Deaths|Mitigated","amt_New Infectious|Mitigated","range_New Infectious|Mitigated","amt_Total Infectious|Mitigated","range_Total Infectious|Mitigated","amt_New Attack Rate|Mitigated","range_New Attack Rate|Mitigated","amt_Attack Rate|Mitigated","range_Attack Rate|Mitigated","amt_New Deaths per 10,000|Mitigated","range_New Deaths per 10,000|Mitigated","amt_Total Deaths per 10,000|Mitigated","range_Total Deaths per 10,000|Mitigated","amt_New Infectious per 10,000|Mitigated","range_New Infectious per 10,000|Mitigated","amt_Total Infectious per 10,000|Mitigated","range_Total Infectious per 10,000|Mitigated"
9.15216116362543,2020-03-19,"Total Infectious per 10,000|Mitigated",23227,3132,0|15.4459851477966,2020-12,39.5454196156398,0.997139654922885|55.8507349332487,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0
10.6546209476849,2020-03-20,"Hospital beds needed|Mitigated",23227,3132,0|18.69152877805,2020-12,46.4446545441313,4.94944460293874|76.401854116762,1.28054901244423,0.112704969015761|1.98124647999024,1.28054901244423,0.112704969015761|1.98124647999024,1002.43013896065,173.369424769576|1265.28398964684,1002.43013896065,173.369424769576|1265.28398964684,0.000104640088788648,1.80974127732579e-05|0.000132078460007972,0.000104640088788648,1.80974127732579e-05|0.000132078460007972,0.0013367192101717,0.00011764867701363|0.00206815217859798,0.0013367192101717,0.00011764867701363|0.00206815217859798,1.04640088788648,0.180974127732579|1.32078460007972,1.04640088788648,0.180974127732579|1.32078460007972
12.5364102655509,2020-03-21,"Hospital beds needed|Mitigated",23227,3132,0.0615911276991174|22.4259627322568,2020-12,54.8616333885811,5.94658425786162|86.0517918018945,1.54313785451205,0.133069326589821|2.26589173544738,2.82368686695628,0.256934275499352|3.98246560830358,1109.88687211816,229.014506278748|1396.95539928778,2112.31701107881,416.576906753438|2649.9027295423,0.000115857111962151,2.39060033607361e-05|0.000145823166457082,0.000220497200750798,4.3484969990204e-05|0.000276613846814387,0.00161082628936801,0.000138906299882819|0.00236528315707379,0.00294754549953971,0.000268204479855073|0.00415715308881969,1.15857111962151,0.239060033607361|1.45823166457082,2.20497200750798,0.43484969990204|2.76613846814387
14.9270458409204,2020-03-22,"Hospital beds needed|Mitigated",23227,3132,0.142198965034039|25.9284913730721,2020-13,65.294904542334,8.61579172030596|101.068604506289,1.78013904285754,0.188162601151742|2.65028759806192,4.60382590981382,0.450602145962625|6.44552173589791,1212.03222511914,291.934797843539|1495.30830317747,3324.34923619795,710.218175614649|4110.6862950453,0.000126519699200851,3.04740270464303e-05|0.000156089873527869,0.00034701689995165,7.41371294289719e-05|0.000429099806737456,0.00185822333408576,0.000196416194266023|0.0027665402185951,0.00480576883362547,0.000470367427407678|0.00672824908709164,1.26519699200851,0.304740270464303|1.56089873527869,3.4701689995165,0.741371294289719|4.29099806737456
17.5103782761793,2020-03-23,"Hospital beds needed|Mitigated",23227,3132,0.0473996550113464|29.6931055886741,2020-13,76.8621120324206,9.06006222820316|115.493514553027,2.08545084909187,0.217861533971703|3.17182415843202,6.68927675890569,0.79903992688397|9.03061701408185,1372.85905860042,326.476870105032|1706.81923098973,4697.20829479837,1046.74105958572|5763.955504093,0.000143307835831027,3.40797501466298e-05|0.000178168741077673,0.000490324735782677,0.00010926554695107|0.000601678652985693,0.00217692738408277,0.000227417845617318|0.00331095353841243,0.00698269621770823,0.000834089136441009|0.0094267373799192,1.43307835831027,0.340797501466298|1.78168741077673,4.90324735782677,1.0926554695107|6.01678652985693
20.3469775586016,2020-03-24,"Hospital beds needed|Mitigated",23227,3132,0.331797585079425|36.3742224046367,2020-13,90.2986043848968,9.52091190416137|127.175932996648,2.40551374845725,0.364753658409123|3.51713178081045,9.09479050736293,1.32523694335879|11.9771242028047,1607.33814495907,446.514185256877|1977.95740919313,6304.54643975744,1493.2552448426|7715.88392172687,0.000167784267117391,4.66100151768325e-05|0.000206471883549639,0.000658109002900068,0.000155875562127903|0.000805433463412746,0.00251102957141594,0.000380753268666565|0.0036714077871498,0.00949372578912417,0.00138336733932242|0.0125024906106034,1.67784267117391,0.466100151768324|2.06471883549639,6.58109002900068,1.55875562127903|8.05433463412746
23.835515625701,2020-03-25,"Hospital beds needed|Mitigated",23227,3132,1.04453930993423|41.8418282201292,2020-13,104.743534003874,13.5772641294604|146.1767833089,2.81509712217713,0.411352660933635|4.31299944458429,11.9098876295401,1.73658960429243|15.7426083305657,1796.84345437369,526.683377575728|2203.82869617697,8101.38989413113,2019.93862241833|9845.26950151042,0.000187566047046341,5.49785897800029e-05|0.000230049777515697,0.000845675049946408,0.000210854151907906|0.00102771239086483,0.00293857897288186,0.000429396296964607|0.00450218551184646,0.012432304762006,0.00181276363628703|0.0164331445100331,1.87566047046341,0.549785897800029|2.30049777515697,8.45675049946408,2.10854151907906|10.2771239086483
27.5895875484295,2020-03-26,"Hospital beds needed|Mitigated",23227,3132,2.2312775849025|47.1929126457843,2020-13,122.052737943869,18.7411553238464|166.255721810914,3.25685521576329,0.52487830789555|4.56926310608487,15.1667428453034,2.3437621817076|19.9593207570486,1972.72180999289,629.070525932702|2379.64712352149,10074.111704124,2692.31745617456|12128.7772688617,0.00020592535811721,6.566641716915e-05|0.000248402832888799,0.00105160040806362,0.000281041368083198|0.00126607958099436,0.00339971441104703,0.000547901650267335|0.00476968996178775,0.0158320191730531,0.00244656932449818|0.0208348194552902,2.0592535811721,0.6566641716915|2.48402832888799,10.5160040806362,2.81041368083198|12.6607958099436
32.3986001182126,2020-03-27,"Hospital beds needed|Mitigated",23227,3132,1.56757976923902|50.3219416259127,2020-13,142.136781743886,22.1465562162132|190.929758459037,3.71252423281813,0.62457636940508|5.40270890330861,18.8792670781215,3.18482082138159|24.831886928463,2173.14990461406,782.85505547407|2659.87767632898,12247.2616087381,3484.57053043454|14741.6807576121,0.000226847328438897,8.1719432935629e-05|0.000277655095752195,0.00127844773650252,0.000363741826510752|0.00153883120969388,0.00387537096355543,0.00065197288279462|0.00563969415292711,0.0197073901366085,0.00332452028897333|0.0259211166144519,2.26847328438897,0.81719432935629|2.77655095752195,12.7844773650252,3.63741826510752|15.3883120969388
37.4655243477786,2020-03-28,"Hospital beds needed|Mitigated",23227,3132,3.37061620485943|60.2980615946161,2020-13,165.237699763736,30.6871801306906|219.059732090749,4.3340081320037,0.79681291478097|6.1786571943579,23.2132752101252,3.98163373616256|30.2747833934788,2407.63816737201,925.841508536315|2878.28816302435,14654.8997761101,4412.05288052137|17619.9689206364,0.000251324717616689,9.66452762063834e-05|0.000300454183520917,0.0015297724541192,0.00046055838428466|0.0018392853932148,0.00452411572754388,0.000831764438338527|0.00644967875848758,0.0242315058641524,0.00415628472731185|0.0316027611224391,2.51324717616689,0.966452762063834|3.00454183520917,15.297724541192,4.6055838428466|18.392853932148
43.2407567595571,2020-03-29,"Hospital beds needed|Mitigated",23227,3132,6.55327804385344|68.5753987455962,2020-14,190.067683021038,40.1029204547719|250.416432849582,4.8674054919256,1.09925968382665|6.73037286377103,28.0806807020508,5.59805024595693|36.4408947300846,2653.69627216906,1130.6311963617|3226.37464551916,17308.5960482791,5575.8023046512|20735.1553837947,0.000277009841130458,0.000118022537607628|0.000336789683640805,0.00180678229524966,0.000582038014969889|0.0021644685410759,0.00508091011083854,0.00114747777871747|0.00702559496840257,0.0293124159749909,0.00584360397810463|0.0380393437097514,2.77009841130458,1.18022537607628|3.36789683640805,18.0678229524966,5.82038014969889|21.644685410759
